Nombre,Avg_viewers,Time_streamed,All_time_peak_viewers,Hours_watched,Rank,Followers_gained,Total_followers,Total_views,Enlace
Todoeschow,27.0,623.2,1953.0,17100.0,17713,1200.0,3000.0,0.0,https://twitchtracker.com/todoeschow
Cosmoking_,115.0,104.7,1174.0,12000.0,17743,-10.0,2500.0,0.0,https://twitchtracker.com/cosmoking_
Geraalv,72.0,200.7,549.0,14400.0,17780,2000.0,15600.0,0.0,https://twitchtracker.com/geraalv
Ansichan,239.0,20.3,5157.0,4800.0,17806,93.0,466000.0,931000.0,https://twitchtracker.com/ansichan
Nouconcept,249.0,17.2,523.0,4300.0,17815,960.0,45300.0,0.0,https://twitchtracker.com/nouconcept
Millymusiic,124.0,91.7,12554.0,11400.0,17838,953.0,422000.0,557000.0,https://twitchtracker.com/millymusiic
Style_coc,140.0,74.9,2508.0,10500.0,17855,259.0,15600.0,0.0,https://twitchtracker.com/style_coc
Twinqtv,143.0,71.7,1831.0,10300.0,17864,508.0,90300.0,0.0,https://twitchtracker.com/twinqtv
Selenepfi,162.0,56.7,1264.0,9200.0,17868,-163.0,17400.0,0.0,https://twitchtracker.com/selenepfi
Flordelrey,288.0,6.7,3916.0,1900.0,17893,-595.0,43100.0,0.0,https://twitchtracker.com/flordelrey
Meryface,117.0,100.2,4192.0,11700.0,17903,318.0,37600.0,0.0,https://twitchtracker.com/meryface
Chozadeevan,101.0,125.1,3754.0,12600.0,17904,241.0,8900.0,0.0,https://twitchtracker.com/chozadeevan
Vetelcito01,99.0,128.8,1043.0,12700.0,17915,-97600.0,30600.0,713000.0,https://twitchtracker.com/vetelcito01
Oxxon,165.0,54.1,2142.0,8900.0,17923,845.0,28100.0,0.0,https://twitchtracker.com/oxxon
Nununanatv,237.0,20.1,449.0,4800.0,17953,142.0,5000.0,0.0,https://twitchtracker.com/nununanatv
Dragons_fn,127.0,86.9,513.0,11000.0,18004,859.0,18400.0,0.0,https://twitchtracker.com/dragons_fn
Franksb_,286.0,6.6,482.0,1900.0,18008,113.0,34900.0,0.0,https://twitchtracker.com/franksb_
Justmonado,280.0,7.9,8315.0,2200.0,18014,-109.0,182000.0,1970000.0,https://twitchtracker.com/justmonado
Riderencordoba,66.0,217.9,421.0,14500.0,18022,484.0,3500.0,0.0,https://twitchtracker.com/riderencordoba
Jctelevision,123.0,91.1,259.0,11200.0,18023,2600.0,2600.0,0.0,https://twitchtracker.com/jctelevision
Blurelle,77.0,178.8,3175.0,13800.0,18032,154.0,20500.0,0.0,https://twitchtracker.com/blurelle
Frecuenciaf2p,49.0,312.4,1018.0,15400.0,18071,-461.0,6500.0,0.0,https://twitchtracker.com/frecuenciaf2p
Madridhardhousemusic,233.0,20.6,3497.0,4800.0,18083,142.0,2700.0,0.0,https://twitchtracker.com/madridhardhousemusic
Kodepoet,45.0,348.0,696.0,15600.0,18092,130.0,18300.0,0.0,https://twitchtracker.com/kodepoet
Dahvys,137.0,75.2,19664.0,10300.0,18108,53.0,59200.0,1980000.0,https://twitchtracker.com/dahvys
Dysz,96.0,131.9,3856.0,12600.0,18125,265.0,14200.0,0.0,https://twitchtracker.com/dysz
Nxvil,105.0,114.5,703.0,12100.0,18143,1200.0,63700.0,0.0,https://twitchtracker.com/nxvil
Pawpau,199.0,33.6,453.0,6700.0,18159,255.0,10300.0,0.0,https://twitchtracker.com/pawpau
Yisuskrax,158.0,57.2,2989.0,9000.0,18164,267.0,39000.0,230000.0,https://twitchtracker.com/yisuskrax
Su3tv,119.0,94.3,386.0,11200.0,18169,1300.0,28600.0,0.0,https://twitchtracker.com/su3tv
Wakailee,200.0,33.1,3527.0,6600.0,18178,182.0,26300.0,0.0,https://twitchtracker.com/wakailee
Kuraleks,165.0,52.2,2119.0,8600.0,18179,97.0,22000.0,0.0,https://twitchtracker.com/kuraleks
Zanzupp,132.0,79.7,8996.0,10500.0,18180,133.0,10600.0,0.0,https://twitchtracker.com/zanzupp
Marcopolometin2,30.0,536.3,98.0,16300.0,18198,430.0,1400.0,0.0,https://twitchtracker.com/marcopolometin2
Bronzafamily,123.0,89.4,2933.0,11000.0,18201,-96.0,152000.0,6850000.0,https://twitchtracker.com/bronzafamily
Ivn__01,158.0,55.8,932.0,8800.0,18321,322.0,6900.0,0.0,https://twitchtracker.com/ivn__01
Itskidmess,194.0,34.8,435.0,6700.0,18327,153.0,20500.0,0.0,https://twitchtracker.com/itskidmess
Sebitaparrab,216.0,25.3,1647.0,5500.0,18340,548.0,48400.0,0.0,https://twitchtracker.com/sebitaparrab
Itselverduras,92.0,136.3,73.0,12500.0,18355,318.0,4100.0,0.0,https://twitchtracker.com/itselverduras
Nautalio,91.0,137.8,1492.0,12600.0,18365,294.0,22500.0,0.0,https://twitchtracker.com/nautalio
Kotoneasahi,85.0,151.1,477.0,12900.0,18384,198.0,11500.0,0.0,https://twitchtracker.com/kotoneasahi
Leveleo,126.0,83.6,3847.0,10600.0,18395,-42.0,21600.0,2060000.0,https://twitchtracker.com/leveleo
